task,n,processes,threads,total_workers,Average of total,Average of search,Average of communication,Average of post,Speedup,Serial Fraction,Parallel Fraction,Theoretical Speedup,,,,,,,,,,,,,
task2,5000000,1,1,1,2.370,2.253,0.000,0.115,1.649,0.054,0.946,1.000,,,,,,,,,,,,,
task2,5000000,1,2,2,1.354,1.231,0.001,0.121,2.885,0.054,0.946,1.898,,,,,,,,,,,,,
task2,5000000,1,4,4,0.779,0.662,0.001,0.114,5.018,0.054,0.946,3.447,,,,,,,,,,,,,
task2,5000000,1,8,8,0.527,0.377,0.001,0.146,7.417,0.054,0.946,5.820,,,,,,,,,,,,,
task2,5000000,1,16,16,0.376,0.243,0.001,0.126,10.401,0.054,0.946,8.877,,,,,,,,,,,,,
task2,5000000,2,1,2,1.308,1.198,0.001,0.109,2.988,0.054,0.946,1.898,,,,,,,,,,,,,
task2,5000000,2,2,4,0.773,0.659,0.004,0.110,5.055,0.054,0.946,3.447,,,,,,,,,,,,,
task2,5000000,2,4,8,0.479,0.361,0.002,0.116,8.167,0.054,0.946,5.820,,,,,,,,,,,,,
task2,5000000,2,8,16,0.383,0.253,0.005,0.124,10.204,0.054,0.946,8.877,,,,,,,,,,,,,
task2,5000000,4,1,4,0.799,0.668,0.025,0.129,4.893,0.054,0.946,3.447,,,,,,,,,,,,,
task2,5000000,4,2,8,0.518,0.381,0.007,0.134,7.538,0.054,0.946,5.820,,,,,,,,,,,,,
task2,5000000,4,4,16,0.386,0.245,0.008,0.137,10.125,0.054,0.946,8.877,,,,,,,,,,,,,
task2,5000000,8,1,8,0.525,0.363,0.019,0.161,7.446,0.054,0.946,5.820,,,,,,,,,,,,,
task2,5000000,8,2,16,0.478,0.261,0.025,0.214,8.178,0.054,0.946,8.877,,,,,,,,,,,,,
task2,5000000,16,1,16,0.623,0.267,0.042,0.353,6.273,0.054,0.946,8.877,,,,,,,,,,,,,
task2,10000000,1,1,1,6.211,5.981,0.002,0.227,1.621,0.035,0.965,1.000,,,,,,,,,,,,,
task2,10000000,1,2,2,3.422,3.194,0.001,0.225,2.942,0.035,0.965,1.933,,,,,,,,,,,,,
task2,10000000,1,4,4,1.983,1.763,0.001,0.217,5.075,0.035,0.965,3.623,,,,,,,,,,,,,
task2,10000000,1,8,8,1.178,0.951,0.001,0.222,8.545,0.035,0.965,6.436,,,,,,,,,,,,,
task2,10000000,1,16,16,0.911,0.675,0.002,0.224,11.054,0.035,0.965,10.522,,,,,,,,,,,,,
