workers,pthreads,openmp,mpi,mpi_nodes
1,14.355924,14.597323,14.755531,1
2,9.060042,7.404173,7.820797,1
4,4.869763,3.793631,4.863490,1
6,3.308786,2.583931,2.865434,1
8,2.519058,1.982932,2.271143,1
10,2.006161,1.622902,1.886775,1
12,1.689484,1.383834,1.597245,1
14,1.445877,1.213300,1.424781,1
16,1.265294,1.091764,2.179464,1
20,,,1.741148,2
24,,,0.991643,2
28,,,0.955992,2
32,,,1.212451,2
